trans_id	strand	gene_id	gene_name	gene_start	gene_stop	trans_start	trans_stop	CDS_length	5UTR_length	3UTR_length	transcript_length
ENST00000000233	+	ENSG00000004059	ARF5	127588345	127591705	155	697	543	154	406	1103
ENST00000000412	-	ENSG00000003056	M6PR	8940365	8949955	470	1303	834	469	1453	2756
ENST00000001008	+	ENSG00000004478	FKBP4	2794953	2805423	188	1567	1380	187	2165	3732
ENST00000001146	-	ENSG00000003137	CYP26B1	72129238	72148038	205	1743	1539	204	2989	4732
ENST00000002125	+	ENSG00000003509	NDUFAF7	37231666	37249160	41	1366	1326	40	810	2176
ENST00000002165	-	ENSG00000001036	FUCA2	143494811	143511690	57	1460	1404	56	896	2356
ENST00000002596	-	ENSG00000002587	HS3ST1	11393150	11429765	1176	2099	924	1175	5932	8031
ENST00000002829	+	ENSG00000001617	SEMA3F	50155129	50189075	485	2842	2358	484	960	3802
ENST00000003084	+	ENSG00000001626	CFTR	117479963	117668665	133	4575	4443	132	1557	6132
ENST00000003100	-	ENSG00000001630	CYP51A1	92112151	92134530	167	1696	1530	166	1514	3210
ENST00000003302	-	ENSG00000048028	USP28	113797874	113875570	70	3303	3234	69	1366	4669
ENST00000003912	+	ENSG00000001461	NIPAL3	24415803	24472976	716	1690	975	715	3791	5481
ENST00000004982	-	ENSG00000004776	HSPB6	35754569	35757029	22	504	483	21	953	1457
ENST00000005178	-	ENSG00000004799	PDK4	95583499	95596491	199	1434	1236	198	2142	3576
ENST00000005226	-	ENSG00000006611	USH1C	17494332	17544307	1	2700	2700	0	0	2700
ENST00000005257	+	ENSG00000006451	RALA	39623483	39708124	381	1001	621	380	1879	2880
ENST00000005260	-	ENSG00000006453	BAIAP2L1	98291651	98401068	217	1752	1536	216	1870	3622
ENST00000005284	+	ENSG00000006116	CACNG3	24255553	24362801	1203	2150	948	1202	938	3088
ENST00000005286	+	ENSG00000006118	TMEM132A	60924481	60937159	154	3228	3075	153	252	3480
ENST00000005340	-	ENSG00000004975	DVL2	7225341	7234545	284	2494	2211	283	524	3018
ENST00000005386	-	ENSG00000005175	RPAP3	47661249	47706061	117	2114	1998	116	2256	4370
ENST00000006015	-	ENSG00000005073	HOXA11	27181515	27185216	73	1014	942	72	1281	2295
ENST00000006275	-	ENSG00000007255	TRAPPC6A	45162928	45178237	20	541	522	19	264	805
ENST00000006724	-	ENSG00000007306	CEACAM7	41673307	41688367	203	1000	798	202	1489	2489
ENST00000006750	-	ENSG00000007312	CD79B	63928740	63932354	94	783	690	93	486	1269
ENST00000007390	-	ENSG00000007520	TSR3	1349240	1351911	108	1046	939	107	197	1243
ENST00000007414	-	ENSG00000006025	OSBPL7	47807372	47821770	193	2721	2529	192	919	3640
ENST00000007699	-	ENSG00000006047	YBX2	7288252	7294564	65	1159	1095	64	431	1590
ENST00000007735	-	ENSG00000006059	KRT33A	41346092	41350812	46	1260	1215	45	27	1287
ENST00000008391	+	ENSG00000008197	TFAP2D	50713828	50772988	229	1587	1359	228	124	1711
ENST00000008527	-	ENSG00000008405	CRY1	106991364	107093829	869	2629	1761	868	638	3267
ENST00000008938	-	ENSG00000008438	PGLYRP1	46019153	46023065	45	635	591	44	85	720
ENST00000009041	+	ENSG00000010270	STARD3NL	38178222	38230671	258	962	705	257	766	1728
ENST00000009105	+	ENSG00000008118	CAMK1G	209583717	209613938	246	1676	1431	245	936	2612
ENST00000011292	+	ENSG00000091704	CPA1	130380371	130388088	151	1410	1260	150	77	1487
ENST00000011619	-	ENSG00000010017	RANBP9	13621498	13711564	60	2249	2190	59	864	3113
ENST00000011653	+	ENSG00000010610	CD4	6789472	6820808	259	1635	1377	258	1479	3114
ENST00000011898	+	ENSG00000011105	TSPAN9	3077377	3286558	162	881	720	161	3442	4323
ENST00000012049	+	ENSG00000011478	QPCTL	45692483	45703989	222	1370	1149	221	940	2310
ENST00000012443	+	ENSG00000011485	PPP5C	46346994	46390852	104	1603	1500	103	506	2109
ENST00000013070	+	ENSG00000012963	UBR7	93207056	93229215	237	1514	1278	236	2180	3694
ENST00000013125	-	ENSG00000012983	MAP4K5	50418525	50532609	320	2860	2541	319	1494	4354
ENST00000013222	+	ENSG00000241644	INMT	30752135	30757602	17	808	792	16	1751	2559
ENST00000014914	+	ENSG00000013588	GPRC5A	12890782	12917937	891	1964	1074	890	5398	7362
ENST00000016913	+	ENSG00000071203	MS4A12	60492778	60507430	58	861	804	57	306	1167
ENST00000016946	+	ENSG00000015568	RGPD5	109794308	109857693	159	5456	5298	158	1797	7253
ENST00000017003	+	ENSG00000015532	XYLT2	50346092	50361151	50	2647	2598	49	860	3507
ENST00000019019	+	ENSG00000068438	FTSJ1	48476161	48486299	430	1413	984	429	573	1986
ENST00000019103	-	ENSG00000080293	SCTR	119439843	119524494	269	1591	1323	268	274	1865
ENST00000019317	+	ENSG00000017797	RALBP1	9475009	9538114	224	2191	1968	223	2177	4368
ENST00000020673	-	ENSG00000059915	PSD	102402619	102419144	528	3602	3075	527	581	4183
ENST00000020926	-	ENSG00000019505	SYT13	45240301	45286319	113	1393	1281	112	3751	5144
ENST00000020945	-	ENSG00000019549	SNAI2	48917768	48921429	165	971	807	164	1039	2010
ENST00000022615	+	ENSG00000078668	VDAC3	42391903	42405897	69	920	852	68	435	1355
ENST00000023064	-	ENSG00000021488	SLC7A9	32830515	32869766	193	1656	1464	192	105	1761
ENST00000025008	-	ENSG00000023287	RB1CC1	52622456	52714432	525	5309	4785	524	1326	6635
ENST00000025301	+	ENSG00000023516	AKAP11	42272153	42323267	176	5881	5706	175	4039	9920
ENST00000027335	-	ENSG00000079112	CDH17	94127171	94208587	126	2624	2499	125	1069	3693
ENST00000029410	+	ENSG00000027847	B4GALT7	177600100	177610347	112	1095	984	111	652	1747
ENST00000031146	+	ENSG00000029364	SLC39A9	69398692	69462381	679	1404	726	678	3788	5192
ENST00000033079	-	ENSG00000031003	FAM13B	137937960	138033031	453	3200	2748	452	2265	5465
ENST00000035307	+	ENSG00000033100	CHPF2	151232499	151238827	1514	3832	2319	1513	146	3978
ENST00000037243	+	ENSG00000034713	GABARAPL2	75566351	75577881	137	490	354	136	512	1002
ENST00000037502	-	ENSG00000034971	MYOC	171635417	171652683	73	1587	1515	72	508	2095
ENST00000037869	-	ENSG00000035141	FAM136A	70295975	70302090	80	496	417	79	1314	1810
ENST00000038176	-	ENSG00000035681	NSMAF	58583504	58659844	214	2967	2754	213	602	3569
ENST00000039007	+	ENSG00000036473	OTC	38352545	38421450	153	1217	1065	152	368	1585
ENST00000039989	+	ENSG00000052841	TTC17	43358941	43494933	15	3440	3426	14	1029	4469
ENST00000040584	+	ENSG00000037965	HOXC8	54009106	54012362	180	908	729	179	981	1889
ENST00000040738	-	ENSG00000038219	BOD1L1	13568738	13627723	137	9292	9156	136	1273	10565
ENST00000040877	-	ENSG00000059588	TARBP1	234391313	234479103	1	4866	4866	0	264	5130
ENST00000043402	-	ENSG00000040608	RTN4R	20241415	20268531	440	1861	1422	439	296	2157
ENST00000044462	+	ENSG00000041357	PSMA4	78540413	78552419	151	936	786	150	3475	4411
ENST00000046087	-	ENSG00000042813	ZPBP	49937441	50093264	71	1126	1056	70	87	1213
ENST00000046640	+	ENSG00000040531	CTNS	3636468	3661538	594	1697	1104	593	1169	2866
ENST00000046794	-	ENSG00000043462	LCP2	170246237	170298227	617	2218	1602	616	2460	4678
